"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 06월 15일","11,335,000","11,243,000","11,403,000","10,770,000","1.26K","0.82%"
"2020년 06월 14일","11,243,000","11,393,000","11,397,000","11,155,000","0.65K","-1.31%"
"2020년 06월 13일","11,392,000","11,390,000","11,400,000","11,273,000","0.41K","-0.01%"
"2020년 06월 12일","11,393,000","11,085,000","11,464,000","11,050,000","0.63K","2.82%"
"2020년 06월 11일","11,080,000","11,738,000","11,797,000","11,050,000","3.41K","-5.61%"
"2020년 06월 10일","11,738,000","11,686,000","11,744,000","11,591,000","0.89K","0.47%"
"2020년 06월 09일","11,683,000","11,678,000","11,760,000","11,556,000","0.66K","0.03%"
"2020년 06월 08일","11,680,000","11,681,000","11,723,000","11,575,000","0.54K","0.01%"
"2020년 06월 07일","11,679,000","11,628,000","11,769,000","11,377,000","1.40K","0.36%"
"2020년 06월 06일","11,637,000","11,602,000","11,698,000","11,523,000","0.40K","0.29%"
"2020년 06월 05일","11,603,000","11,782,000","11,865,000","11,595,000","0.68K","-1.54%"
"2020년 06월 04일","11,785,000","11,650,000","11,860,000","11,472,000","1.14K","1.16%"
"2020년 06월 03일","11,650,000","11,522,000","11,661,000","11,400,000","0.75K","1.08%"
"2020년 06월 02일","11,525,000","12,073,000","12,160,000","11,303,000","3.39K","-4.53%"
"2020년 06월 01일","12,072,000","11,437,000","12,124,000","11,415,000","4.08K","5.55%"
"2020년 05월 31일","11,437,000","11,579,000","11,584,000","11,365,000","0.93K","-1.23%"
"2020년 05월 30일","11,579,000","11,405,000","11,605,000","11,319,000","1.30K","1.53%"
"2020년 05월 29일","11,405,000","11,570,000","11,598,000","11,280,000","0.58K","-1.41%"
"2020년 05월 28일","11,568,000","11,156,000","11,595,000","11,112,000","1.46K","3.75%"
"2020년 05월 27일","11,150,000","10,737,000","11,172,000","10,729,000","1.03K","3.85%"
"2020년 05월 26일","10,737,000","10,821,000","10,917,000","10,610,000","0.82K","-0.78%"
"2020년 05월 25일","10,821,000","10,648,000","10,888,000","10,523,000","1.03K","1.56%"
"2020년 05월 24일","10,655,000","11,134,000","11,240,000","10,648,000","2.23K","-4.30%"
"2020년 05월 23일","11,134,000","11,122,000","11,295,000","11,040,000","0.57K","0.11%"
"2020년 05월 22일","11,122,000","11,093,000","11,236,000","10,895,000","0.88K","0.24%"
"2020년 05월 21일","11,095,000","11,516,000","11,605,000","10,796,000","3.31K","-3.71%"
"2020년 05월 20일","11,523,000","11,728,000","11,777,000","11,370,000","2.69K","-1.75%"
"2020년 05월 19일","11,728,000","11,686,000","11,816,000","11,462,000","0.95K","0.35%"
"2020년 05월 18일","11,687,000","11,614,000","11,875,000","11,456,000","0.87K","0.63%"
"2020년 05월 17일","11,614,000","11,317,000","11,815,000","11,272,000","1.57K","2.62%"
"2020년 05월 16일","11,317,000","11,323,000","11,570,000","11,203,000","1.15K","-0.04%"
"2020년 05월 15일","11,322,000","11,787,000","11,829,000","11,236,000","2.17K","-3.92%"
"2020년 05월 14일","11,784,000","11,270,000","11,944,000","11,231,000","1.89K","4.64%"
"2020년 05월 13일","11,262,000","10,675,000","11,393,000","10,654,000","2.43K","5.50%"
"2020년 05월 12일","10,675,000","10,437,000","10,845,000","10,397,000","1.69K","2.28%"
"2020년 05월 11일","10,437,000","10,690,000","11,256,000","10,137,000","5.09K","-2.43%"
"2020년 05월 10일","10,697,000","11,544,000","11,573,000","10,200,000","4.03K","-7.34%"
"2020년 05월 09일","11,544,000","11,878,000","11,958,000","11,450,000","1.39K","-2.81%"
"2020년 05월 08일","11,878,000","12,004,000","12,162,000","11,810,000","1.77K","-1.10%"
"2020년 05월 07일","12,010,000","11,271,000","12,070,000","11,140,000","5.52K","6.56%"
"2020년 05월 06일","11,271,000","10,980,000","11,445,000","10,880,000","2.30K","2.74%"
"2020년 05월 05일","10,970,000","10,845,000","11,019,000","10,744,000","1.21K","1.23%"
"2020년 05월 04일","10,837,000","10,889,000","10,949,000","10,450,000","1.54K","-0.48%"
"2020년 05월 03일","10,889,000","10,881,000","11,127,000","10,714,000","1.45K","0.13%"
"2020년 05월 02일","10,875,000","10,764,000","10,927,000","10,654,000","1.23K","1.03%"
"2020년 05월 01일","10,764,000","10,461,000","11,037,000","10,445,000","1.67K","2.78%"
"2020년 04월 30일","10,473,000","10,538,000","11,428,000","10,279,000","3.26K","-0.62%"
"2020년 04월 29일","10,538,000","9,413,000","10,700,000","9,379,000","5.68K","11.93%"
"2020년 04월 28일","9,415,000","9,485,000","9,485,000","9,344,000","0.68K","-0.68%"
"2020년 04월 27일","9,479,000","9,365,000","9,486,000","9,307,000","1.14K","1.24%"
"2020년 04월 26일","9,363,000","9,163,000","9,363,000","9,150,000","1.22K","2.17%"
"2020년 04월 25일","9,164,000","9,100,000","9,254,000","9,053,000","0.82K","0.71%"
"2020년 04월 24일","9,099,000","9,056,000","9,229,000","8,999,000","0.71K","0.54%"
"2020년 04월 23일","9,050,000","8,644,000","9,168,000","8,564,000","2.66K","4.72%"
"2020년 04월 22일","8,642,000","8,406,000","8,670,000","8,390,000","0.99K","2.80%"
"2020년 04월 21일","8,407,000","8,385,000","8,496,000","8,310,000","0.86K","0.23%"
"2020년 04월 20일","8,388,000","8,660,000","8,727,000","8,350,000","2.26K","-3.14%"
"2020년 04월 19일","8,660,000","8,714,000","8,736,000","8,563,000","0.72K","-0.69%"
"2020년 04월 18일","8,720,000","8,523,000","8,754,000","8,515,000","1.18K","2.28%"
"2020년 04월 17일","8,526,000","8,561,000","8,605,000","8,480,000","0.84K","-0.40%"
"2020년 04월 16일","8,560,000","8,105,000","8,610,000","7,926,000","1.44K","5.54%"
"2020년 04월 15일","8,111,000","8,370,000","8,418,000","8,094,000","1.06K","-3.19%"
"2020년 04월 14일","8,378,000","8,376,000","8,464,000","8,270,000","0.81K","-0.12%"
"2020년 04월 13일","8,388,000","8,468,000","8,468,000","8,168,000","1.25K","-0.90%"
"2020년 04월 12일","8,464,000","8,460,000","8,750,000","8,343,000","1.91K","-0.01%"
"2020년 04월 11일","8,465,000","8,414,000","8,537,000","8,319,000","1.06K","0.62%"
"2020년 04월 10일","8,413,000","8,805,000","8,825,000","8,242,000","1.81K","-4.52%"
"2020년 04월 09일","8,811,000","8,820,000","8,852,000","8,644,000","0.88K","-0.19%"
"2020년 04월 08일","8,828,000","8,647,000","8,909,000","8,624,000","1.19K","2.07%"
"2020년 04월 07일","8,649,000","8,797,000","8,965,000","8,542,000","2.12K","-1.60%"
"2020년 04월 06일","8,790,000","8,184,000","8,799,000","8,184,000","3.05K","7.38%"
"2020년 04월 05일","8,186,000","8,250,000","8,275,000","8,106,000","0.92K","-0.76%"
"2020년 04월 04일","8,249,000","8,154,000","8,325,000","8,101,000","1.71K","1.20%"
"2020년 04월 03일","8,151,000","8,175,000","8,426,000","8,051,000","1.84K","-0.26%"
"2020년 04월 02일","8,172,000","8,067,000","8,499,000","7,986,000","6.34K","1.33%"
"2020년 04월 01일","8,065,000","7,795,000","8,082,000","7,534,000","3.25K","3.46%"
"2020년 03월 31일","7,795,000","7,793,000","7,976,000","7,740,000","1.08K","0.05%"
"2020년 03월 30일","7,791,000","7,219,000","8,019,000","7,201,000","2.90K","7.92%"
"2020년 03월 29일","7,219,000","7,652,000","7,684,000","7,219,000","2.07K","-5.70%"
"2020년 03월 28일","7,655,000","7,885,000","7,885,000","7,404,000","1.72K","-2.92%"
"2020년 03월 27일","7,885,000","8,274,000","8,355,000","7,823,000","1.90K","-4.68%"
"2020년 03월 26일","8,272,000","8,270,000","8,338,000","8,088,000","1.54K","0.00%"
"2020년 03월 25일","8,272,000","8,360,000","8,510,000","8,080,000","1.39K","-1.05%"
